0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,1.584,1.584,1.584,1.584,0.58398,0.58398,0.58398,0.58398
1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,1.584,1.584,0.58398,0.58398,-0.41602,-0.41602,-0.41602
-0.41602,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,1.584,1.584,1.584,1.584,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,-0.41602,-0.41602,-0.41602,-0.41602,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,-0.41602,-0.41602,-0.41602,-0.41602
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
0.58398,0.58398,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
0.58398,0.58398,0.58398,0.58398,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-1.416,-1.416,-1.416,-1.416,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-1.416,-1.416
-1.416,-1.416,-1.416,-1.416,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-1.416,-1.416,-1.416,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-1.416,-1.416,-1.416,-1.416,-1.416,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416
-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416
-1.416,-1.416,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416
-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416
-1.416,-1.416,-1.416,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-1.416
-1.416,-1.416,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-1.416,-1.416,-1.416
-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416
-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416
-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-1.416,-1.416,-1.416,-1.416,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416
-0.41602,-1.416,-2.416,-2.416,-2.416,-2.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416
-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416
-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416
-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416
-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416
-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416
-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416
-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-2.416,-2.416,-2.416,-2.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416
-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-1.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416
-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416
-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416
-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416
-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416
-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416
-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-2.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416
-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416
-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416,-3.416
-3.416,-3.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416
-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416
-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416
-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416
-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-4.416,-5.416,-5.416,-5.416,-4.416,-5.416,-6.416,-6.416,-6.416,-6.416
-6.416,-6.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416
-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-5.416,-6.416,-6.416,-6.416,-6.416
-6.416,-6.416,-6.416,-6.416,-6.416,-6.416,-6.416,-6.416,-6.416,-6.416,-6.416,-6.416,-6.416,-6.416,-6.416,-6.416,-6.416,-6.416
